term,n_T,n_ST,p_T,p_ST,ll,category
requir xcc,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
requir underli,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
requir typic,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li nmanfr,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li nmauric,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li nnr,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
avoid nthe,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li npleas,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li open,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
avoid suci,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
requir relat,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
requir push,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
requir ps,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
requir place,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
copi ident,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li ve,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li input,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
respect session,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li wiki,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
respond opinion,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
level ngn,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
restrict dissemin,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
correct generat,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
author equip,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
author fail,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
restart reopen,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
correct essenc,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
correct end,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
author xe,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
authoris establish,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
correct don,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
respons xid,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li encrypt,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li fallback,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
respons origin,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li ftp,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
li grind,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
respons null,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
respons nthank,0.0,1000.0,0.0,0.15598190609889254,-50.19894020031544,S\T
